sub_id,A1,A2,A3,A4,A5,A6,A7,A8,story,p_type,q1,q2,q3,q4,q5,q6,q7,q8
sub-17,Like hunters lodge,"Heavy, covered in felt, extensive drink menu on last page","Shelton orders veal and a manhattan, gordon orders medium rare steak and a martini","It's subpar, meat is dry and overcooked","Both in airplane manufacturing. shelton head of a large corporation, gordon of a smaller company",$600 mil,,With a cheers and a drink,31,loc,0,3,3,3,0,3,0,3
sub-18,Very fancy with candelabras on every table,Covered in black felt,Mr. gordon gets a medium rare steak,They both think the steaks are a little over cooked,"Mr. shelton was cfo and mr gordon was ceo of a separate, smaller company",600 million dollars,Techjet,,31,np,1,1,2,2,3,3,3,0
sub-20,It's dimly lit,Covered with felt,"Shelton orders veal and a manhattan, gordon orders medium-rare steak and a martini",They both found their meals to be poor believing each item to be over cooked,"Shelton is cfo, gordon is ceo",$600 million,Techjet,A toast of their martinis,31,soc,0,1,3,2,3,3,3,3
sub-23,Orantely ,,Martinis,Not great,,600 million,,They will merge companies,31,soc,0,0,1,0,0,3,0,0
sub-24,,,,,Cfo and xxx,1000000,,Cheers,31,soc,0,0,0,0,1,1,0,3
sub-25,Old steakhouse with wooden floors,Steak,Mr gordon gets a medium rare steak and champagne ,They thought it was mediocre with the meat tasting a little dry,,56 million,,Handshake,31,loc,1,0,2,2,0,1,0,0
sub-26,Lavishly,"Felt covered, big","Veal for shelton, medium rare steak for gordon",Not very much,,600 million dollara,Techjet,"A toast, clinking their glasses together",31,loc,0,1,2,0,0,3,3,3
sub-27,,,,,Shelton is a top level admin in some established airline for a while but gordon is head of a startup that will disrupt the airline industry,,Techjet,,31,np,0,0,0,0,2,0,3,0
sub-30,"Darkly, with dark brown oak wood fashioned in a rustic manner","Black, large","Mr. shelton orders a burger with a manhattan, while mr gordon orders a steak with a martini","They don't, they find the meat to be overcooked and dry","Mr shelton is a cfo, mr gordon is a ceo",600 million dollars,Taxijet,A toast,31,soc,1,0,3,3,3,3,2,3
sub-32, ,, ,,Mr.shelton is a ceo ,,,A handshake,31,np,0,0,0,0,2,0,0,0
sub-33,Wood paneling and taxidermied animals,"Felt, heavy","Steak with martini, veal with manhattan","They don't like it, it is dry",,60 million,,Handshake,31,loc,2,2,2,2,0,2,0,0
sub-34,With taxidermy ,"Steaks, fancy",Both order steaks,They think its mediocre,,600000,Techjets,,31,loc,1,0,1,0,0,1,3,0
sub-35,"Nice, upperscale but casual",,,,"Saome sort of corporate position, akin to an executive",,,A hug,31,np,0,0,0,0,0,0,0,0
sub-37,,,"Mr. shelton orders the veal and a manhattan, and mr. gordon orders the steak, medium rare, and a martini",They are altogether disappointed given the quality they expected. it is bland,"Mr gordon is the current ceo of his company, and mr shelton is either cfo or coo of the larger company.",I believe it was 650 million; i'm not convinced of this number but i'm almost certain it was between 600 and 700 million.,,A handshake,31,np,0,0,3,0,3,2,0,0
sub-38,Fancy steakhouse,,"Mr gordon gets a steak with a martini, while mr shelton orders veal with a manhattan",Both like their food,"Mr shelton is part of a larger aviation company or conglomerate, mr gordon is an executive at a smaller manufacturing company",,,,31,np,0,0,3,0,2,0,0,0
sub-01,,Simon buys things for vegetable kababs and carina buys things for bbq ribs,,, ,It's a joke about whether the cornish hen is a cute piece of meat,They are going out to dinner in harvard square as a date.,430 in the afternoon,43,np,0,2,0,0,0,3,2,3
sub-02,Large and spacious,Steak and some type of alcohol i think or maybe seasoning,"If i recall correctly, the grocery store is rather empty ",The groceries are around 50$ and simon pays by credit card,I don't remember,I think carina asks simon if he thinks the meat is cute,They will go on a date ,"Around 4pm maybe, carina had to leave first for her bbq",43,loc,1,1,0,3,0,3,0,2
sub-03,Packed,Barbeque stuff,3ish,"14 total, card", a bookquestion,,,,43,np,0,0,2,0,0,0,0,0
sub-04,"Big, warehouse-like, dark- and high-celiings","Spices and meat, ribs specifically","Three are open, not sure which they step into",Can't remember ,Meat,"Isnt he cutequestion referring to the object, i think meat, in front of them",Can't remember when but i think they will have a dinner date,4colon30,43,loc,3,2,2,0,0,3,1,3
sub-05,Not very crowded,Simon shows ribs to carina while carina points simon to red peppers and spices for the barbecues they're going to attend later,Lane 2question,The groceries are around 53 dollars and simon pays with cash,Corniche hen,Isn,They are going to meet for dinner next week,Not sure,43,np,0,2,0,2,0,0,1,0
sub-06,It was big with a high rise dark ceiling,Food,10,Simon pays for both him and carina on his credit card and calls it a first date,  ,,,,43,loc,2,0,0,2,0,0,0,0
sub-07,,,,,,,,,43,np,0,0,0,0,0,0,0,0
sub-08,"It was like a warehouse with high black ceilings, large packages for the products, and fluorescent lights","Chicken, cornish hen, spices, and pepper",Three lanes are open but they each step into lane 8,The total amount is not said but simon pays for all of the groceries with his credit card,Products from the meat section,Carina asks if the meat is cute,They will meet a week after their gatherings for a date,4colon30,43,loc,3,1,3,2,0,3,0,3
sub-10,Not mentioned,Simon buys spices and vegetables for kebobs and carina buys meats ,Only 1 is open they step into 2,It is 50 dollars and simon pays by credit card,A shopping basket ,Isn't this meat cute,They will meet on sunday for dinner,4 30,43,soc,0,2,0,3,0,3,1,3
sub-13,I think they have some items displayed up front but i forget which ones,"I think carina picks out a cornish hen, but maybe she just saw it",I don't recall. there may just have been one,They were $52. simon paid for all of it with his credit card,I don't recall,Carina asks simon whether he also thought the cornish hen looks cute,They will meet up that evening for a date i think after her barbecue that started at 4 30,Around 4 35,43,loc,0,0,0,3,0,3,0,3
sub-14,,Meats,,"14 dollars, credit card",,,,,43,np,0,0,0,2,0,0,0,0
sub-16,I don't remember,Something at the deli,I don't remember,"I don't remember the cost of the groceries, simon paied with cash",Her key,I don't remember,4 pm for a concert,3 pm,43,soc,0,0,0,0,3,0,0,0
sub-19,,Ingredients for meat kebabs,"3 lanes open, lane 8","$50, simon pays with credit card",,,They are going to dinner together,Before carina's barbeque,43,np,0,0,3,3,0,0,1,0
sub-21,,Chicken,"5, 2","52 dollars, simon paid for both their groceries by card i think",,Something about the meat,,Around 4 i think because carina has a bbq at 4 30,43,soc,0,0,0,3,0,0,0,2
sub-22,,Stuff for kebobs and stuff for some asian dish,All of them and the 2nd,"Simon pays with his credit card for both of them, it's $30",Guinea fowel or turkey,Isn't this meat cute,For dinner next week,3pm,43,loc,0,0,0,2,0,3,1,0
sub-23,,,,60 bucks and simon pays with a credit card,,,Dinner next week on a date ,4 pm,43,loc,0,0,0,2,0,0,1,2
sub-24,,,"5 open, and they choose 3",Credit card,Beef, ,Cooking,,43,loc,0,0,0,2,0,0,0,0
sub-25,,Meat,,52 dollars and cash,Pack of meat,Recommendation of meat,After their bbq party to have a date,4pm,43,soc,0,0,0,2,0,0,0,2
sub-26,,,,,,,Undecided,,43,soc,0,0,0,0,0,0,0,0
sub-27,,Items for their summer barbecue parties. carina gets recommended simon's sauce and simon is recommended her veggie kebabs,2 or 3 i think,"Not sure but simon ends up paying for carina, stating that this was like their first date",Keys or the cornish hen,"Cornish hen is younger brother of the bigger chicken, and its an unfortunate family since theyre all dead and in the grocery store",,3ish,43,soc,0,1,0,0,0,0,0,0
sub-28,,Meat and easoning for the kaboobs; other food for their respective barbeques ,Lane 8,Simon pays ,Meat,,,Almost 4,43,np,0,0,2,0,0,0,0,2
sub-29,,Food for their barbeques. simon gets vegetebles and spices and carina gets meat,There is one open,The groceries are 45 dollars total between both of them and simon pays in card,Carina is holding meat,Carina says to simon that this meat is cute,They are meeting on sunday for dinner,Four thirty,43,np,0,1,0,2,0,3,1,3
sub-30,Busy,,"One, lane 2","50 dollars, credit card",,,A barbeque,3colon38,43,np,0,0,0,3,0,0,0,0
sub-31,,,,,,,,,43,loc,0,0,0,0,0,0,0,0
sub-32,,,,,,,,,43,soc,0,0,0,0,0,0,0,0
sub-33,,,,,Keys,Is this meat cutequestion,,4colon30,43,soc,0,0,0,0,3,3,0,3
sub-36,N/a,"Things for their barbecue party - meat,etc.","10, 8",55$ and credit card,Meat   ,This meat looks so cute,The couple will meet for a dinner and it will be a date ,4.3,43,soc,0,0,2,3,0,3,1,3
sub-04,Idk ,Neon with japanese print and english translation ,"Sushi, specifically salmon rolls and other sorts of fish rolls ",They think it's really fresh ,"2 years i think, it was hard to hear","5 or 3, red",Idk,Her dad,21,soc,0,0,0,0,0,1,0,3
sub-05,Crystal chandeliers hanging from the ceiling. columns at the front,They are small ,Senna orders the oysters with garlic parmesan sauce; alvira orders scallops,They think it's delicious,Years,3 canary yellow diamonds,Thin band,Friends,21,soc,2,1,3,1,0,3,0,0
sub-06,With tomaoes,,Pasta,They liked it,11 months,3 canary colored diamonds,A box,Her dad,21,soc,0,0,0,0,0,2,0,3
sub-07,Fancy,Small,,,5 years,5 small red diamons,Tomatoes.../,Her dad,21,loc,0,1,0,0,3,0,0,3
sub-08,Large chandeliers hung from the ceiling,They are short and do not contain any prices,Alvira orders oysters,"They like it, particularly the oysters",5 years,Three canary-yellow diamonds that were in senna's grandmother's wedding ring,A piece of cake the waiter brings to the table,Alvira texts her dad,21,soc,2,2,2,1,3,3,3,3
sub-09,"Fancy, with chandelier and big windows with views",Tiny with no prices,Senna order a oyster something with parmesan i think; alvira order seafood as well... scallops with carmelized apples maybe,They both like it... senna says it tastes like the sea,I dont remember maybe 3 years,3 yellow diamonds,Cake,Father maybe,21,loc,3,2,3,1,0,3,3,3
sub-12,"Nice views, small priceless menus, fancy","Small with fancy script and no prices, few items selected by chef",,Both enjoy, ,,Small cake,,21,np,1,3,0,0,0,0,3,0
sub-13,"It's fancy, with glass chandeliers and windows that look out to a body of water",I don't recall,I don't recall,I believe they liked it but i don't remember exactly,I don't recall,There are three yellow diamonds on the ring,On a slice of cake,Her dad,21,soc,2,0,0,0,0,2,2,3
sub-14,"Close to the water, on west coast",Fancy,Oysters and scallops,Better than they thought,18 months,1 white diamond,Cake,Father,21,np,1,0,2,1,0,0,3,3
sub-16,I don't remember,I don't remember,I don't remember,I don't remember,11 months,I don't remember,I don't remember,I don't remember,21,np,0,0,0,0,0,0,0,0
sub-17,"Very elegantly, chandeliers , tall windows, marble floor maybe, creamy color palette ","Small selection, prices not indicated, scripty font","Senna has oysters with garlic breadcrumbs, alvira has scallops with caramelized apples",Its even better than they expected,23 mos,4 canary yellow diamonds,On a cake,Her dad,21,loc,2,3,3,1,0,2,3,3
sub-18,Very fancy ,There are no prices on the menus,Oysters and some parmesan sauce ,Senna says the oysters are delicious and taste of the sea,5 years,3 canary yellow diamonds,A cake,Her dad ,21,soc,0,1,1,2,3,3,3,3
sub-19,,,Seafood,They like it a lot,,1 diamond,,,21,loc,0,0,0,0,0,0,0,0
sub-20,,,,,,"5 red diamonds, because alvira likes the avant-garde",,,21,np,0,0,0,0,0,0,0,0
sub-21,"Really fancy restaurant with a chandelier, overlooks the pacific ocean","Fancy menus with fancy font, no prices on the menu",Oysters with caramelized onion,"They love the food, alvira said the oysters taste like the ocean",,"3, yellow",,Sister,21,loc,2,2,1,1,0,2,0,0
sub-23,Ornately ,,,, ,,,Her brother ,21,np,0,0,0,0,0,0,0,0
sub-24, ,,,,,,,,21,np,0,0,0,0,0,0,0,0
sub-25,"Fancy looking with many windows and high ceiling, and they are seated next to a window",Seafood related things,Senna orders oysters and alvira orders seafood related,They like it,,5 red,,Family,21,loc,2,0,2,0,0,0,0,0
sub-26,Fancy,"Small, few menu items",Calamari and scallions,Love it,23 months,3 diamonds,A cake,Her dad,21,loc,0,2,0,0,0,1,3,3
sub-27,Fancy restaurant that overlooks the pacific ,Menus dont have prices on them,Assortment of seafood including things like scallops but cant remember anything else,,,3 canary yellow diamonds on the ring,Cant remember what was mentioned but i think senna called over the waiter while alvira was in the bathroom to give him the order and ring. ,Something like mom or dad,21,np,1,1,1,0,0,3,0,2
sub-30,"Fancilly, with white table cloths and high-arching windows.","Sleek, light, black, without prices on them",,They both have positive reactions,5 years,"3 diamonds, a canary yellow, from senn",Alvira's cake at the end of dinner,Her brother,21,soc,1,1,0,0,3,3,3,0
sub-31,,Menus are carefully curated to a few of the chef's specials,,They liked it a lot,7 years,4 red diamonds,A small cake,Her mom,21,loc,0,1,0,0,0,0,3,0
sub-32,With chandeliers,The menus are written in fancy-loopy cursive and small with the chefs best picks. no prices are displayed,Senna orders oysters alivira gets another type of seafood,"They both really like their food, especially the oysters",The couple has been dating for 8 years,"The diamonds are canary yellow, and there are three of them",The item was presented on top of a slice of cake for dessert,The fiancee texts her dad,21,soc,1,3,2,1,0,3,2,3
sub-35,Very nice and classy,Fancy,"Oysters, i think",Both people really like the food and alvira comments that the meal is too nice to celebrate her tomato harvest,,3 canary yellow diamonds,,Her father,21,soc,0,0,1,0,0,3,0,3
sub-36,It is well lit and decorated with lights,,Senna order ravioli,They like it very much,5 years,5 pink,,Her father,21,loc,1,0,0,0,3,0,0,3
sub-37,,"Very small, with elegant cursive describing the chefs",,It is very good,5 years! this is the 5 years one.,"Maybe this is the one with 5 diamonds,  i really wish i could remember.",Presented with the menu by the waiter,,21,np,0,3,0,0,3,0,0,0
sub-38,,Seafood,Senna gets the oysters with garlic and alvira orders the scallops with apples,The oysters are particularly good,5 years,2 pink diamonds,,,21,np,0,0,3,1,3,0,0,0
sub-04,Idk,Laminated,Reuben sandwich and medium-rare burger,I don't think they say ,2 months,Idk,No; she thinks they can change how often they see each other to make things better,"Sadie wants two things back, a record and a poster. one of them is beatles-related",11,soc,0,2,2,0,3,0,3,2
sub-05,"It's a diner, so with booths",They are large and laminated with familiar names for the items,Thomas orders a burger with no tomatoes; sadie orders the reuben after asking how it is,"Thomas' tastes fishy, whereas sadie takes half and storms out.  the waiter did say the reuben was delicious though",2 months,He needs to focus on his career by himself,No they don't because they believe the two can reach a new arrangement as to how much time they spend together,Sadie wants back her polaroid camera and something else,11,soc,2,2,3,1,3,3,3,2
sub-06,Black and white checked floor,"Dense and lots of words, so they just ordered familiar items on the menu",Sandwiches,They never ate it,2 months,Career workload and aspirations that he needs to figure out on his own,No sadie doesnt want to break up with thomas and so she's willing to see him less often but then she changes her mind and walks out on him,Sadie wants some books back or something,11,soc,1,1,1,0,3,3,3,1
sub-08,It is decorated like a 1950s diner with black and white checkered tile floors,The menus were long and laminated,Thomas ordered a burger and sadie ordered a rueben,Sadie did not comment on the food because she took half of her sandwich and left but thomas did not like his burger because it tasted like fish,About two months,Thomas wants to break up because he does not know if he wants to remain in his current job and he needs more time to allow himself to consider his professional options,Sadie does not want to break up and says that she and thomas can spend less time together to allow him to devote more time to his job,Sadie wants her beatles poster and her polaroid camera back,11,np,2,2,3,2,3,2,3,3
sub-09,Its a diner with black and white checkered tiles and booths which were maybe red,Laminated with lots of items,Thomas orders the burger without tomatoes; sadie order the reuben after asking the waitress if its good,"Thomas didn't like his and thinks it tastes like fish, but wasn't sure if that was just projection because he's feeling bad after the breakup; i dont think sadie even eats hers, just throws half of it or something",3 weeks maybe,"Thomas wants to focus on his career, maybe switching careers",No. sadie wants to stay together and offers to see each other less and such as a compromise.,"I dont think sadie asks for anything, but i might have just forgotten",11,loc,3,2,3,2,0,2,3,0
sub-10,It is reminiscent of the 70s,The menus are laminated and have weird names for the foods,Sadie orders a rueben and thomas orders a burger,Sadie takes half of her rueben with her but thomas does not like the burger and feels that it tastes fishy in his mouth,For two months,Thomas mentions he has issues with his career and that is why he is breaking up with sadie,"Sadie does not want to break up with thomas and tries to convince him to stay with her, to see each other less if he has problems. however, thomas says his career and work are at stake",Sadie wants her poster back,11,loc,1,3,3,2,3,1,3,2
sub-12,"Diner, booths",Laminated,"Thomas burger without tomatoes, sadie reuben",Thomas finds his fishy,,"Thomas wants to focus on his career, changing careers and his current job",No she thinks they are fine and can just spend less time together,Sadie wants her beatles poster and polaroid,11,np,2,2,3,1,0,2,3,3
sub-13,It is like a diner from the 70s,They are laminated,Thomas orders a hamburger and sadie orders a rueben,Not sure about sadie. thomas finds the burger has a fishy taste to it,I don't recall,Thomas explains he needs to focus on his career options,No--she loves him and suggests they can just spend less time together,I don't recall--i don't remember there being any,11,np,1,2,3,1,0,2,3,0
sub-14,Diner,Laminated,"Burger, reuben sandwich",His tastes like fish,Several weeks,He wants to focus on career,"No, she thinks she can work it out and not hang out as much",She wants poster of beatles back,11,soc,1,2,2,1,0,2,3,1
sub-16,I don't remember,I don't remember,"Thomas ordered burger, i don't remember what sadie ordered","Thomas did not like the food, and i don't remember about sadie",I don't remember,Thomas was overwhelmed by his career,Sadie did not want to break up because everything was going on well,I don't remember,11,np,0,0,2,1,0,1,2,0
sub-18,I think they said it was a cute restaurant,The menus have weird/cute names for the food items,Thomas gets a burger with no tomato and sadie gets a reuben,Thomas thinks the burger tastes fishy,,Thomas is thinking about a new career and needs space to deal with this decision,"Sadie doesn't want to break up, she thinks that they can work through it together ",Sadie wanted thomas to return something ,11,np,0,2,3,1,0,3,2,1
sub-20,70's diner esque,,"Thomas orders burger no tomato, sadie orders rueben sandwich",Thomas thinks the burger smells fishy,2 months,Thomas wants to figure out his career path on his own,Sadie does not want to break up,,11,np,1,0,3,1,3,3,2,0
sub-21,"Old-time diner, black and white tiles, red leather cushioned seats",Plastic laminated,Burger ,,,They have different personalities,"Oh wait, the reason thomas wanted to break up was because he wanted to focus on his figuring his career out. sadie was like we can spend less time together or soemthing, she didn't want to break up",,11,loc,3,2,1,0,0,2,3,0
sub-22,70s themed with checkered floor,,He orders a burger and she ordeers a reuben,"Does not like it, it tastes fishuy",,He wants to focus on his career,"No she does not, she can give him space",,11,loc,2,0,2,2,0,2,3,0
sub-23,,They have a lot of food items on it,Thomas orders a hamburger ,It's subpar,A few weeks,Work and career change,"No, they want to work it out because she thinks they are good together",Sadie,11,soc,0,1,2,0,0,1,2,1
sub-24,,,,,,,No,Camera and cds,11,soc,0,0,0,0,0,0,2,1
sub-27,70s restaurant theme,They barely interacted with the menus and just ordered what was familiar,A burger and a reuben ,"Hamburger was fishy and dry, jeff wonders if the bad taste was from the restaurant or burger",2 months,He is very stressed and preoccupied by his job and questions of whether or not this career path and company is right for him,"She initially doesnt want to break up cause she thinks things were going well, and she is willing to see him less often if that would help. but then she gets angry and storms out, asking him to never speak to her and give her back the polaroid and beatles poster",Sadie wants her polaroid and beatles poster,11,soc,1,0,2,2,3,2,3,3
sub-28,"70's theme with a long black bar, black and white tiles, and red leather booths",,Burger with no tomato and a reuben sandwich ,Thomas thinks his burger tastes fishy; he does not like it ,The past week,,No,Sadie wants her philosophy books back,11,loc,3,0,2,2,0,0,2,0
sub-29,An older diner,Laminated,Thomas orders a burger with no tomatoes and sadie order rueben,Thomas has an unpleasent taste when he takes a bite of his burger,,Thomas is uncure about his career and needs time to figure it out on his own,Sadie doesn’t want to break up.,,11,loc,1,2,3,1,0,3,2,0
sub-30,Like a 70s american diner,Black,"Thomas orders a burger with no tomatoes, sadie orders a reuben","Sadie does not eat, thomas finds his burger to be dry and fishy",3 months,"Thomas wants to break up because he wants to focus on his career, namely on whether he wants to switch careers or not","Sadie does not want to break up, because she thought their relationship was going well and that they could stay together without being together as much",Sadie wants her stuff sent back to her apartment,11,np,1,0,3,2,2,2,3,1
sub-32, ,,,,,,,,11,np,0,0,0,0,0,0,0,0
sub-33,,,,,,,,Philosophy books,11,loc,0,0,0,0,0,0,0,0
sub-34,"Like a 70s themed diner with booths, bells, and a bar","Classic diner food, reuben, cheeseburger","Thomas has a burger, sadie has a reuben","Sadie doesnt try hers, thomas does not like his burger",2 months,He wants to focus on his business goals ,She does not want to break up. she thinks they get along well and likes spending time with him,,11,loc,3,0,3,1,3,1,2,0
sub-35,,,"I can't quite remember if this was the japanese restaraunt, but if so they each ordered two rolls where one person ordered a fish roll and a vegetable roll",I think they intially bothed enjoyed it and then only thomas enjoys the food,,,,,11,np,0,0,0,0,0,0,0,0
sub-36,It is nicely decorated restaurant with bar ,Menus with funny name of dishes,Thomas orders a burger,Thomas doesn't like the food,2 weeks,He has a lot of stuff going on at his office and he has to figure out his career plans,No - she thinks they can work out things and they don't have to see each other that often,She wants her painting back,11,loc,1,2,2,1,1,2,3,0
sub-37,"The floor is checkered in black and white, and i believe the barstools/seats are upholstered in red.",,"I think thomas orders a burger with no tomatoes, but i don't remember what sadie orders.","Thomas is pleased with the burger, and i don't remember how sadie feels.",The initiator thomas had been thinking about breaking up with sadie for two months.,,"No, they do not want to break up. this is because they still love the initiator, i think.","Sadie, the one being dumped, wants back her polaroid camera and another item, which i cannot remember but i am certain there were two items.",11,soc,2,0,2,0,3,0,2,2
sub-38,,Are these the laminated ones,"Thomas gets the burger, sadie gets the reuben",Thomas finds the burger dry,,He wants to explore alternative career paths,"No, sadie asks thomas the reconsider if this is what he truly wants",Sadie wants her beatles poster and something else back,11,soc,0,2,3,1,0,2,2,2
sub-01,It has wood paneling and plants all along one wall.,They have entrees in japanese with english descriptions under,"James orders a tuna roll and an avocado roll, and teresa orders a salmon roll and a japanese beer",They think it's good; the fish is very fresh,,James asks teresa whether she got a concussion/hurt her head on the door,"They agree to go on a date, but i don't remember the location/time",,41,loc,2,2,3,3,0,2,0,0
sub-02,This was not at a restaurant ....,This was at a restaurantquestionquestion oh shoot this was the sushi placequestion,One orders salmon with japanese beer and the other tuna with someone else.,Very fresh. very happy.,They are at the airport and i think james notices teresa  but not what they were holding,I can't remember.,"When one of them comes back from a trip, they will meet.",Departure time.,41,loc,0,0,2,3,0,0,0,0
sub-03,"Large, fancy, red, wooden tables",Neon with lots of japanese and a bit of english translations here and there,"A salmon roll plus beer, then a tuna roll plus a veggie roll",They think the fish is very fresh,A newspaper,Does your forehead hurtquestion,Tonight for a concert,Noonish,41,loc,1,3,2,2,3,2,2,0
sub-04,Idk,Idk,Idk,Idk,Idk,Idk,Idk,Idk,41,np,0,0,0,0,0,0,0,0
sub-05,There are benches by the bar on which james and teresa sit...,Not big or small,Teresa orders salmon roll and a japanese beer; james orders the tuna roll and a vegetable roll,They like it,A menu,How is your forehead,"They are going to meet later that night for an egyptian artist's concert that james had two tickets for, but they were free",3pm,41,np,0,0,3,1,0,2,3,3
sub-06,"Bright, outdoors, with hanging decore",,,The food was good,They were both having dinner alone at the same restaurant,Something about the food,They will meet the next day for dinner,The evening,41,np,1,0,0,1,0,0,0,0
sub-07,Velvet,Japanese text with small english text,"Teresa gets japanese beer and salmon roll, james gets tuna roll and vegetable roll",They like,Door,Have you ever been bit by a scorpion,No clue,,41,loc,0,2,3,1,0,0,0,0
sub-08,It has a glass door and is empty,The menus contain long lists of japanese dishes with english translations next to them,Teresa orders a japanese beer and james orders a salmon roll,The food is not commented on explicitly,James is holding a newspaper,James asks teresa how her forehead feels,James will pick teresa up at 8 for a concert that evening,3colon00,41,np,0,2,2,0,3,2,2,3
sub-12,"Sushi restaurant, they sit at a bar",,"James vegetable and tuna roll, teresa salmon roll and beer",, ,,Concert that tonight,,41,soc,0,0,3,0,0,0,2,0
sub-13,I don't recall. i do remember that it is a japanese restaurant in atlanta with larger japanese text on the menus and smaller english text,They have larger japanese text and smaller english text,Teresa orders a tuna roll and a beer. james orders a salmon roll and a vegetable roll.,They like it because the fish tastes fresh,I don't recall. teresa was texting on her phone when she bumped into the door,James asks teresa if her forehead hurts,They will meet later that day--maybe at 8 pm--for a concert by an egyptian artist,I don't recall,41,np,0,2,3,3,0,2,3,0
sub-14,Japanese style,In japanese with english in smaller priont,"Sushi, but teresa orders beer",They both enjoy it,Teresa hit her head on door,,Concert later that night,,41,np,0,2,2,2,0,0,2,0
sub-16,I don't remember,I don't remember,"Teresa ordered fish and japanese beer, and james ordered two roles",I don't remember,I don't remember,Teresa asked james if he had been stunned by a scorpio,I don't remember,I don't remember,41,soc,0,0,2,0,0,0,0,0
sub-18,,,Sushi,They both liked the sushi,James is holding a newspaper,James asks how is your forehead,They will meet that night for a concert,3pm,41,soc,0,0,0,1,3,2,2,3
sub-19,,,"Sushi, fresh fish",They like it a lot because the fish tastes fresh,,Teresa asks james if he's had a specific experience with scorpions,That evening for an egyptian concert,,41,loc,0,0,0,3,0,2,3,0
sub-20,,,,,Coffee cup,James asks teresa if she hurt her head running into the door,James will pick teresa up to go to a concert,3 pm,41,soc,0,0,0,0,0,0,1,3
sub-22,Like a japanese restaurant,Japanese,"She orders a japanese beer and a salmon roll, he orders a vegetable and salmon roll",Theh both like their food,"Phone, she walks into a wall",James asks her if her head still hurts,That night they are going to a concert of an egyptian musician,3pm james has to  leave,41,loc,0,1,2,1,0,2,3,3
sub-23,,,,,,,James asks teresa out on a date,,41,np,0,0,0,0,0,0,0,0
sub-24,,Small,,They said they are good to the servant,,,,,41,np,0,0,0,1,0,0,0,0
